,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
7947,20200417,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,,
7948,20200417,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
7949,20200417,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
13741,20200424,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
13742,20200424,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
13743,20200424,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,en,"Information about Coronavirus (Covid-19) – Diocese of St. Catharines Skip to content Home About Us Resources and Links Contact Us Diocese of St. Catharines Where faith lives Facebook Twitter Vimeo Search for: Offices Chancery Marriage Tribunal Business Religious Education Responsible Faith Ministry Permanent Diaconate Vocations Directory News Around the Diocese Parish News Bishop’s Blog Bishop’s Letters The Vineyard Paper Marriage Marriage Tribunal Marriage Preparation Marriage Prep Calendar Catholic Engaged Encounter Natural Family Planning Marriage Help Retrouvaille Separated and Divorced Healing Ministry Marriage Related Events Marriage Prep Engaged Encounter Marriage Help Family Family Ministry Natural Family Planning Pro-Life Ministry Youth Ministry Young Adult Ministry Youth and Young Adults Events Education Rite of Christian Initiation for Adults Niagara Catholic District School Board Niagara Foundation for Catholic Education Conseil scolaire catholique MonAvenir Vocations Pray for Our Priests Questions and Answers Director’s Blog Permanent Diaconate Vocations Videos The Serra Club Get Involved Development and Peace Response to Pope’s Francis’ Call Out of the Cold Refugee Ministry Society of St. Vincent de Paul Social Justice Donate Notre Dame Pilgrimage SEA Wells of Hope Cathedral Appeal Information about Coronavirus (Covid-19) Diocesan UpdatesLive Streaming MassResourcesPrayersHoly Week 2020 Diocesan Updates Coronavirus Update: April 3rd Closures and cancellations in effect until May 30th | Holy Week Celebrations 2020 | Weddings | Sacrament of Reconciliation | Anointing of the Sick. Coronavirus Update: March 27th Amendment to COVID-19 Memo of March 26th, 2020 | Cathedral to open Mon-Sat 11:30am-12:30pm, Sun 9am-10:30am, limited to 5 person at a time, 15min to stay | Sunday Mass Livestream 11:30am at the Cathedral Coronavirus Update: March 26th Effective immediately, all churches are to be closed to visitors until further notice. Our Cathedral will remain open 11:30 am until 12:30 pm every day, and for personal prayer only. Coronavirus Update: March 16 Sunday Masses cancelled immediately until April 18Holy Week Liturgies are cancelled.Chrism Mass, scheduled April 7, is cancelled.All non-essential parish meetings, outside groups, educational seminars and social events are cancelled until further notice. Memo regarding Coronavirus – Covid-19: March 12 Live Streaming Masses around the Diocese of St. Catharines Know of more? Let us know! – Cathedral of St. Catherine of Alexandria: Sunday 11:30am – Our Lady of the Scapular, Niagara Falls: Weekdays 9 am Saturday 5 pm – St. Alfred, St. Catharines: Monday, Tuesday, Thursday, Friday 8 am; Wednesday 9:15 am and 7 pm (in Spanish); Saturday 8:30 am, 6 pm, 7:30 pm (in Spanish); Sunday 7:45 am, 9 am (in Italian), 10:30 am and 12noon. – St. Joseph, Grimsby: Weekdays 9am, Sunday 10:30 am – St. John Bosco, Port Colborne: Tuesday, Wednesday, Thursday and Friday 9:00 am, Sunday at 10:15 am – St. Julia, St. Catharines: Weekdays 9 am and Saturdays 5 pm – St. Mary of the Assumption, St. Catharines: Weekdays 9 am Sunday 10 am – St. Michael, Dunnville: Sunday Mass uploaded in YouTube – St. Michael, Fort Erie: Sunday 10 am – St Patrick’s, Caledonia: Sunday 10:00 am, Holy week Masses: Holy Thursday 7 pm, Good Friday 3:00 pm, Easter Sunday 10:00 am, Sunday Massespeople 10:00 am at stpatrickscaledonia.com – St. Stephen, Fr. Ron is uploading his homilies in Facebook @St-Stephens-Catholic-Church – St. Thomas More, Niagara Falls: Sunday 10:00 am – Star of the Sea: Sunday Mass uploaded in YouTube International / Television – Daily Mass TV: The Canadian Catholic Broadcasting Council – Salt + Light Media – EWTN – Word on Fire Daily Mass with Bishop Barron – Ascension Press Daily Mass Resources Health – Niagara Region: Novel Coronavirus (COVID-19) – Public Health Ontario: Coronavirus Disease 2019 (COVID-19) – Health Canada Novel Coronavirus Spiritual – Pope Francis’ special Urbi et orbi blessing – Statement by the Canadian Conference of Catholic Bishops on the Coronavirus (COVID-19) – Message to Canadians from Religious Leaders in Canada in Response to the COVID-19- Pandemic Prepare for Mass – Mass Readings – Prayer of Spiritual Communion Prayer & Reflection – Magnificat Magazine is offering their publication this month for free to all – Prayers in Time of the Coronavirus Pandemic – National Prayer for Canada Prayers in Time of the Coronavirus Pandemic The early Christians prayed in the church of the home. Once more, in troubled times when public worship has to be restricted, we are called to pray in “the domestic church,” always aware of the promise of Jesus, “Where two or three are gathered in my name, there I am among them” (Matthew 18:20). In this challenging time Lord Jesus Christ, our true physician and healer, be merciful to us and bring us your aid in these troubled times. Heal all our sickness and every affliction of your people. Drive out our infirmities of soul and body; free us from all disease and especially from this pandemic. We place in your gentle heart the elderly, the frail, those with a disability, children, young people and families, our Indigenous peoples, those who are poor, lonely and isolated. As you walk with us, free them from fear, and give them patience and hope, together with our loving care. We place our trust in you, our Risen Lord, who lives and reigns for ever and ever. Amen. For those who care for the sick Father of mercies, we thank you for all who care for the sick. When they diagnose, give them patience. When they protect the vulnerable, give them your protection. When they work to heal, give them strength. When they comfort, give them consolation. When they are tired, give them rest. When they are discouraged, bring them your hope. May we welcome and respect them as we support one another in this time of trial. For those seeking a cure for the virus Come, Holy Spirit, enlighten the minds of women and men of medical science who are working to find a cure for this viral infection. Guide their research and help them discover what you provide in creation, sure ways of control, protection, inoculation and healing. Strengthen them in their tireless work and enrich in them the virtue of hope. For those who govern and represent us Eternal Wisdom, guide our leaders called to serve us in our nation, its provinces and territories. May they respond to the challenges of this affliction with prudence and sound judgement. With prudence, may their planning alleviate the economic burdens, compensate for losses, protect employment, and ensure ample food and shelter for the poor, the isolated and the marginalized. Prayer to the Blessed Virgin Mary This short prayer to Our Lady has been prayed by Christians in troubled times since the third century. We fly to your protection, O Holy Mother of God; despise not our petitions in our hour of need, but deliver us always from all dangers, O glorious and blessed Virgin. Amen. Our Lady of Good Health Prayer from the shrine of Our Lady of Good Health, Church of la Maddalena and tomb of Saint Camillus, Rome. Mother of Mercy, Our Lady of Good Health, in visiting St. Elizabeth and in watching at the foot of the Cross of your suffering Son, you showed your solidarity with suffering humanity. Hear the prayer of all your infirm children who come to you with the certainty of finding a Mother who welcomes, heals and comforts them. Mother of our Saviour and our Mother, hear the intentions that we entrust to your intercession: heal our illnesses; transform our tears into prayer and our sufferings into moments of growth; change our loneliness into contemplation and our waiting into hope; assist us in our final hours and transform our death into resurrection. Amen. An Act of Spiritual Communion My Jesus, I believe that you are present in the Most Holy Sacrament. I love you above all things, and I desire to receive you into my soul. Since I cannot at this moment receive you sacramentally, come at least spiritually into my heart. I embrace you as if you were already there and I unite myself wholly to you. Amen. Many Masses are being live streamed. Check Live Streaming Masses around the Diocese of St. Catharines . For the faithful departed Be merciful, Lord Jesus, to all who have entered eternity because of this virus. Comfort and strengthen their families and friends with the hope of your glorious Resurrection. Eternal rest grant to them, O Lord, and may light perpetual shine upon them. + May their souls and the souls of all the faithful departed rest in peace. Amen. A Litany of Saints of Mercy In the Communion of Saints, we are always surrounded by many unseen friends whose lives embodied care for the sick. Let us confidently invoke the Saints and Angels for the healing and health of those who are infected and for protection from the virus. Mary, Health of the Sick, pray for us. Mary, Comforter of the Afflicted, pray for us. Mary Immaculate of Lourdes, pray for us. Saint Michael the Archangel, pray for us. Saint Raphael the Archangel, pray for us. Saint Joseph, pray for us. Saint Dymphna, Virgin and Martyr, pray for us. Saint Blaise, Bishop, pray for us. Saint Peregrine Laziosi, pray for us. Saint Juliana Falconieri, pray for us. Saint Francis of Assisi, pray for us. Saint Elizabeth of Hungary, pray for us. Saint John of God, pray for us. Saint Aloysius Gonzaga, pray for us. Saint Charles Borromeo, pray for us. Saint Martin de Porres, pray for us. Saint Camillus de Lellis, pray for us. Saint Louise de Marillac, pray for us. Saint Damien of Molokai, pray for us. Saint Frances Xavier Cabrini, pray for us. Saint Teresa of Calcutta, pray for us. Saint Marguerite d’Youville, pray for us. Saint André Bessette, pray for us. Saint Kateri Tekakwitha, pray for us. For peace of soul (St. Teresa of Avila) Let nothing disturb you, Let nothing frighten you. All things are passing: God alone is changeless. Patience gains all things, Who has God wants nothing. God alone suffices. Some Scripture readings A plea for divine protection, Psalm 90, Sunday Compline II. The call of his Heart, Matthew 11: 25-30 A healing day with Jesus at Capernaum, Luke 4:38-44 Children of God, Romans 8:14-17 Salvation and suffering, 1 Peter 1:3-9 The promise of a new heaven and a new earth, Revelation 21: 1-7 Holy Week 2020 Bishop Bergie will preside at all Holy Week celebrations at the Cathedral of St. Catherine of Alexandria. All celebrations will be livestreamed, and accessible on the diocesan website saintcd.com, and on the Cathedral website thecathedralinstcatharines.com. Palm Sunday, 11:30 am Chrism Mass (postponed until a later date) Holy Thursday 7:30pm. Good Friday, 3:00 pm Easter Vigil Mass: 8 pm. Easter Sunday, 11:30 am Additionally, Easter Sunday Mass will be broadcast on Cogeco TV Channel 10 (yourtv.tv/niagara). Holy Week Celebrations on Television Daily TV Mass (NCBC) Broadcast Schedule EWTN Daily TV Schedule Channel Finder Salt + Light TV Holy Week Schedule Ways to Watch National Catholic Mission 2020 Touching God’s Compassion The Rosary How to Pray the Rosary Also includes links to the rosary prayers in different languages and different ways to meditate on the rosary, including images and recommendations of Scripture passages related to each mystery The Rosary Video guides for the joyful, glorious, sorrowful and luminous mysteries Stations of the Cross Scriptural Stations of the Cross from the USCCB Presented as an alternative to the traditional stations and as a way to reflect more deeply on the Scriptural accounts of Christ’s passion Video Stations of the Cross based on the Psalms Video guide that uses the Psalms as a tool to reflect on the Stations of the Cross Virtual Stations of the Cross at St. Michael’s Cathedral Basilica Fr. Ed Curtis and Fr. Matthew McCarthy prayerfully meditate on Christ’s suffering and sacrifice (download PDF program) Stations of the Cross adapted for children On Good Friday (April 10, 2020) Pope Francis will preside over the Via Crucis (Stations of the Cross). This year’s meditations were prepared by prisoners from a penitentiary in Padua, Italy. The faithful may access the full text at any time and follow the Holy Father in the service via live video at 9:00 p.m. Rome time (3:00 p.m. Eastern Time). The Act of Contrition You may know an Act of Contrition from receiving the Sacrament of Reconciliation. The Act of Contrition is a way to acknowledge that we are sorry for our sins and that we, with God’s help, will try to not sin again. It is an acknowledgement of our dependence on the mercy of God. In this time of COVID-19, when we are participating in Mass by means of Spiritual Communion, the Act of Contrition is one way to acknowledge our sins and ask for God’s forgiveness. While praying an Act of Contrition does not replace the need for Sacramental Confession once we are able to attend it again, praying an Act of Contrition, after reflecting on our sins, is a good way to open ourselves to the mercy and love of God and to declare to Him and ourselves, our intention to not sin again. Various Acts of Contrition Eight different Acts of Contrition as suggested in the Rite of Penance For Families Holy Week at Home from Liturgical Press Adaptions of the Palm Sunday, Holy Thursday, Good Friday, Easter Vigil, and Easter Sunday rituals. This material is not meant to replace the liturgies of Holy Week and the Triduum but may provide families with a way to ritualize the days in your home and foster conversations following your participation in the liturgies via livestream. Holy Week @ Home Experience from The Pastoral Center Resources for families to help celebrate and commemorate Palm Sunday, Holy Thursday, Good Friday, and Easter Sunday. Liturgy of the Hours The Easter Vigil takes the place of the Office of Readings. However, if you are unable to participate in the Easter Vigil Liturgy, the Office of Readings is prayed. To do so, at least four readings (with the canticles/psalms and prayers) from the Easter Vigil are read. Ibreviary contains the four preferred readings: ibreviary Daily prayers for the Liturgy of the Hours How to Pray The Liturgy of the Hours A video guide to praying the Liturgy of the Hours Share this: Email Print Facebook Twitter WhatsApp Pinterest The Diocese of Saint Catharines 3400 Merrittville Highway. Thorold, ON L2V 4Y6 905 684-0154 Monday to Friday: 9:00 a.m. – 4:30 p.m. About Us Mission Our Bishop Diocesan History The Crest St. Catherine of Alexandria Misconduct Policy Guidelines for Catholic Funerals Catholics and Cremation Terms of Use Site Map © The Diocese of Saint Catharines. All rights reserved Send to Email Address Your Name Your Email Address Cancel Post was not sent - check your email addresses! Email check failed, please try again Sorry, your blog cannot share posts by email."
18670,20200504,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
22255,20200515,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
22256,20200515,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 1162000190058359073-121703640779588812
22257,20200515,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 1162000190058359073-153286644136019149
62826,20200522,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
62827,20200522,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
62828,20200522,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 444000050056934994-117730834638438723
62829,20200527,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
62830,20200527,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 444000050170252262-261425395092160838
62831,20200527,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
62832,20200529,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
62833,20200529,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
62834,20200529,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
72373,20200529,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
72374,20200529,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 442000070067275633-126269079298900418
72375,20200529,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 442000070067275633-154291524702175684
81622,20200605,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
81623,20200605,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 442000080057260910-98955711521358338
81624,20200605,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 442000080057260910-84624277532967425
91891,20200612,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
91892,20200612,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 976000020031300140-52309532043378823
91893,20200612,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
103166,20200619,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
103167,20200619,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 569000040040625482-147711613338190084
103168,20200619,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 569000040040625482-194413885124051205
113160,20200626,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
113161,20200626,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 569000050047138136-203144157772448069
113162,20200626,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
123609,20200703,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
123610,20200703,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 442000120020464657-54616011050713860
123611,20200703,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
123612,20200703,saintcd.com,http://www.saintcd.com/?custom-css=d347fb48b9,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 442000120020614143-62468594247271173
123613,20200703,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/bitter-v12-latin-ext_latin-700.woff2,text/html,,,
123614,20200703,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/bitter-v12-latin-ext_latin-regular.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 442000120021054428-40848459023647496
123615,20200703,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-700.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 442000120021054428-55683572416774922
123616,20200703,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-italic.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 442000120021054428-34277369514164999
123617,20200703,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-regular.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 442000120021054428-40854197099954952
133860,20200710,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
133861,20200710,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
133862,20200710,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 499000120030878543-76029210458784520
133863,20200710,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-regular.woff2,text/html,,,
133864,20200710,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-700.woff2,text/html,,,
133865,20200710,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/bitter-v12-latin-ext_latin-regular.woff2,text/html,,,
133866,20200710,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/bitter-v12-latin-ext_latin-700.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 499000120031929898-72947713157825287
133867,20200710,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-italic.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 499000120031929898-68617170647712514
144361,20200717,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
144362,20200717,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
144363,20200717,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
154840,20200724,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
154841,20200724,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
154842,20200724,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
154843,20200724,saintcd.com,http://www.saintcd.com/?custom-css=d347fb48b9,text/html,,,
154844,20200724,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/bitter-v12-latin-ext_latin-regular.woff2,text/html,,,
154845,20200724,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/bitter-v12-latin-ext_latin-700.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 258000160021580380-54203771487650825
154846,20200724,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-regular.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 258000160021580380-39911026564662279
154847,20200724,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-italic.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 258000160021580380-48823483135820803
154848,20200724,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-700.woff2,text/html,,,
165756,20200731,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
165757,20200731,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
165758,20200731,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 567000130056748955-140343425143079754
165759,20200731,saintcd.com,http://www.saintcd.com/?custom-css=d347fb48b9,text/html,,,
165760,20200731,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/bitter-v12-latin-ext_latin-regular.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 567000130057196609-62647853305496386
165761,20200731,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/bitter-v12-latin-ext_latin-700.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 567000130057196609-108010507611865929
165762,20200731,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-italic.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 567000130057196609-159521613760889669
165763,20200731,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-regular.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 567000130057196609-125065560751276868
165764,20200731,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-700.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 567000130057196609-141776088794071882
176677,20200807,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
176678,20200807,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 258000180035245781-85682797980812420
176679,20200807,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
176680,20200807,saintcd.com,http://www.saintcd.com/?custom-css=d347fb48b9,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 258000180035681404-39594380100764801
176681,20200807,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-700.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 258000180035681404-72865146690733187
176682,20200807,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/bitter-v12-latin-ext_latin-700.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 258000180035681404-87217243766785156
176683,20200807,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/bitter-v12-latin-ext_latin-regular.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 258000180035681404-63422184349107335
176684,20200807,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-regular.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 258000180035681404-63599914390783111
176685,20200807,saintcd.com,http://www.saintcd.com/wp-content/themes/smartline-lite/fonts/raleway-v12-latin-ext_latin-italic.woff2,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 258000180035681404-101266116151739530
187634,20200814,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
187635,20200814,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 977000120038287088-18372117809660680
187636,20200814,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
200448,20200821,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
200449,20200821,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 543000150136114412-310131178933781444
200450,20200821,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
212343,20200828,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
212344,20200828,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 881000120045897097-92956561360618245
212345,20200828,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
224630,20200904,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
224631,20200904,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
224632,20200904,saintcd.com,http://www.saintcd.com/covid-19/,text/html,text/html,ca,Request unsuccessful. Incapsula incident ID: 526000190228651914-375425024113116361
238002,20200911,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
238003,20200911,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
238004,20200911,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
249347,20200918,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
249348,20200918,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
249349,20200918,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
261681,20200925,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
261682,20200925,saintcd.com,http://www.saintcd.com/covid-19/,text/html,,,
